Date,Time,SpotPrice,Expiry,StraddleValue,ATM,ATM-500 IV,ATM-450 IV,ATM-400 IV,ATM-350 IV,ATM-300 IV,ATM-250 IV,ATM-200 IV,ATM-150 IV,ATM-100 IV,ATM-50 IV,ATM IV,ATM+50 IV,ATM+100 IV,ATM+150 IV,ATM+200 IV,ATM+250 IV,ATM+300 IV,ATM+350 IV,ATM+400 IV,ATM+450 IV,ATM+500 IV,
04-05-2023,09:15:00,18085.25,04-05-2023,77.3,18100,44.02,40.59,36.97,33.39,30.1,26.62,23.66,22.15,21.47,20.62,19.59,18.93,19.03,20.35,23.38,26.88,30.49,34.19,37.39,40.77,44.48,
04-05-2023,09:16:00,18102.8,04-05-2023,74.65,18100,45.09,41.4,37.9,34.22,30.56,26.81,23.6,21.8,20.94,20.19,19.39,19.04,19.09,19.39,22,25.19,28.82,32.19,36.06,39.47,43.2,
04-05-2023,09:17:00,18103.3,04-05-2023,73.6,18100,45.94,41.87,38.38,34.7,31.06,27.32,24.26,21.98,21.01,19.95,19.15,18.6,18.65,18.69,21.23,24.56,28.15,32.13,35.69,39.51,43.28,
04-05-2023,09:18:00,18111.1,04-05-2023,72.2,18100,46.28,42.21,38.72,34.79,31.2,27.33,24.28,21.87,20.91,19.55,18.78,18.28,18.21,18.45,20.93,24.51,28.16,31.88,35.46,39.28,42.64,
04-05-2023,09:19:00,18099.3,04-05-2023,72.1,18100,46.2,42.1,38.26,34.56,30.9,26.97,24.06,21.8,20.73,19.59,18.82,18.35,18.26,18.92,21.19,24.63,28.45,32.44,36.01,39.84,43.61,
04-05-2023,09:20:00,18100.8,04-05-2023,71.4,18100,45.87,42.12,38.27,34.58,30.69,26.8,24.17,21.93,20.71,19.51,18.66,18.25,18.08,18.56,21.25,24.69,28.8,32.52,35.72,39.92,42.82,
04-05-2023,09:21:00,18094,04-05-2023,70.75,18100,45.07,41.35,38.11,34.11,30.2,26.45,23.6,21.2,20.28,19.16,18.45,18.07,18.28,18.97,21.83,25.25,29.07,33.06,36.25,40.46,44.24,
04-05-2023,09:22:00,18101.85,04-05-2023,70.5,18100,45.8,41.73,38.27,34.61,30.98,26.9,24.1,21.8,20.59,19.39,18.47,18.05,18.09,18.38,21.11,24.57,28.41,32.42,36.01,39.45,42.76,
04-05-2023,09:23:00,18112.55,04-05-2023,70.65,18100,46.81,42.36,38.59,34.99,31.42,27.77,24.58,21.99,20.71,19.55,18.46,17.88,17.92,18.09,20.66,24.43,27.85,31.56,35.11,38.52,42.26,
04-05-2023,09:24:00,18114.65,04-05-2023,70.45,18100,46.59,42.88,39.07,35.42,31.35,27.74,24.74,22.08,20.76,19.48,18.4,17.84,17.71,17.99,20.4,24.13,27.78,31.81,35.42,38.89,42.67,
04-05-2023,09:25:00,18109.75,04-05-2023,70.05,18100,46.9,42.8,38.97,35.31,31.69,27.8,24.47,21.83,20.61,19.36,18.36,17.86,17.78,18.19,20.76,24.55,27.97,31.69,35.25,39.09,42.87,
04-05-2023,09:26:00,18118,04-05-2023,71.1,18100,47.84,42.99,39.54,35.61,31.82,28.21,24.55,22.18,20.79,19.58,18.5,17.85,17.72,17.96,20.38,24.04,27.49,31.22,35.51,39.04,41.99,
04-05-2023,09:27:00,18114.35,04-05-2023,70.2,18100,47.75,43.26,39.75,36.04,31.93,28.08,24.68,22.01,20.73,19.43,18.35,17.83,17.6,17.9,20.42,24.23,27.68,31.74,35.71,39.25,43.08,
04-05-2023,09:28:00,18113.55,04-05-2023,69.55000000000001,18100,47.74,43.25,39.72,36.01,32.12,28.22,24.63,22.29,20.64,19.17,18.23,17.61,17.43,18.02,20.54,24.35,27.8,31.54,35.49,39.38,43.21,
04-05-2023,09:29:00,18117.4,04-05-2023,69.8,18100,48.2,43.7,39.87,36.47,32.58,28.69,24.98,22.31,20.66,19.26,18.16,17.52,17.43,17.73,20.12,23.96,27.44,31.19,35.49,38.65,42.89,
04-05-2023,09:30:00,18118.3,04-05-2023,68.7,18100,48.18,44.03,40.15,36.44,32.54,28.46,24.78,21.86,20.35,18.99,17.93,17.35,17.35,17.86,20.57,24.08,27.56,31.63,35.62,39.18,43.03,
04-05-2023,09:31:00,18117.65,04-05-2023,68.1,18100,48.16,43.65,40.12,36.39,32.49,28.21,24.85,21.87,20.19,18.84,17.83,17.45,17.64,18.19,20.85,24.42,27.69,31.76,35.42,39.32,42.75,
04-05-2023,09:32:00,18117.65,04-05-2023,67.6,18100,47.84,44.05,40.46,36.43,32.52,28.42,24.87,21.97,20.13,18.88,17.73,17.25,17.34,18.05,21.05,24.26,28.02,31.82,35.48,39.39,43.25,
04-05-2023,09:33:00,18117.1,04-05-2023,67.05,18100,47.83,44.04,40.14,36.41,32.71,28.75,25.24,22,20.22,18.67,17.63,17.16,17.18,17.97,20.85,24.37,27.85,31.94,35.95,39.52,42.95,
04-05-2023,09:34:00,18118.15,04-05-2023,67.3,18100,48,44.2,40.3,36.3,32.86,28.91,25.39,22.07,20.24,18.88,17.68,17.2,17.27,17.86,20.76,24.3,27.79,32.18,35.55,39.47,42.91,
04-05-2023,09:35:00,18112.05,04-05-2023,66.8,18100,47.8,43.64,40.38,36.33,32.39,28.45,24.96,22.02,20.11,18.74,17.68,17.3,17.61,17.94,20.95,24.63,28.39,32.51,35.88,39.8,43.67,
04-05-2023,09:36:00,18106.2,04-05-2023,65.6,18100,47.54,43.36,39.79,36.03,32.08,28.12,24.74,21.61,19.92,18.45,17.47,17.3,17.71,18.28,21.36,25.03,28.5,32.27,36.61,40.19,44.06,
04-05-2023,09:37:00,18107.05,04-05-2023,66.35,18100,47.32,43.17,39.96,35.93,32.24,28.28,24.77,21.88,20.07,18.69,17.67,17.37,17.56,18.28,21.26,24.94,28.43,32.53,36.2,40.13,44.01,
04-05-2023,09:38:00,18115.7,04-05-2023,66.6,18100,47.77,43.62,40.41,36.11,32.71,28.57,25.26,22.14,20.18,18.66,17.64,17.25,17.46,17.91,21.01,24.77,28.34,31.86,35.87,39.81,43.26,
04-05-2023,09:39:00,18112,04-05-2023,66.05,18100,47.52,43.36,40.14,36.1,32.4,28.44,25.05,21.85,20.08,18.63,17.63,17.3,17.53,18.14,21.41,24.94,28.44,32.23,36.24,40.18,44.07,
04-05-2023,09:40:00,18110.05,04-05-2023,65.9,18100,47.53,43.36,39.82,36.09,32.38,28.41,24.88,22.15,20.17,18.63,17.63,17.25,17.48,18.13,21.35,25.04,28.54,32.66,36.71,39.9,44.2,
04-05-2023,09:41:00,18108.25,04-05-2023,65.95,18100,47.53,43.72,40.12,36.07,32.58,28.55,24.97,22,20.08,18.63,17.68,17.37,17.62,18.25,21.63,25.16,28.66,33.09,36.47,40.43,44.33,
04-05-2023,09:42:00,18107.85,04-05-2023,65.3,18100,47.1,43.33,39.78,35.75,32.08,28.13,24.63,21.74,19.92,18.49,17.55,17.27,17.55,18.38,21.59,25.29,28.79,33.23,36.97,40.57,44.48,
04-05-2023,09:43:00,18112.3,04-05-2023,65.35,18100,48.28,44.42,40.47,36.67,32.69,29.07,25.31,22.09,20.07,18.58,17.51,17.13,17.26,18.02,21.27,24.99,28.79,32.96,36.36,40.33,43.8,
04-05-2023,09:44:00,18111.85,04-05-2023,65.25,18100,48.39,44.17,40.57,36.22,32.55,28.97,25.11,21.99,20.05,18.58,17.5,17.11,17.27,18,21.25,24.98,28.79,32.33,36.37,39.94,44.26,
04-05-2023,09:45:00,18117.05,04-05-2023,64.75,18100,48.78,44.57,40.64,36.61,32.95,29.01,25.25,21.86,19.79,18.24,17.25,16.84,16.96,17.71,21.07,24.66,28.21,32.37,36.09,39.67,44.01,
04-05-2023,09:46:00,18113.1,04-05-2023,64,18100,48.06,44.23,40.3,36.53,32.8,28.8,24.96,21.77,19.84,18.22,17.23,16.99,17.41,18.14,21.56,25.13,28.94,32.82,36.55,40.53,44.46,
04-05-2023,09:47:00,18111.1,04-05-2023,64.3,18100,48.62,44.74,40.45,36.4,32.95,28.94,25.25,21.92,19.89,18.38,17.31,16.9,17.06,17.94,21.32,25.07,28.61,32.78,36.51,40.09,44.44,
04-05-2023,09:48:00,18111.2,04-05-2023,64.19999999999999,18100,48.62,44.38,40.43,36.38,32.91,28.71,24.91,21.76,19.86,18.31,17.33,16.99,17.33,18.06,21.26,25.18,28.73,32.9,36.64,40.22,44.14,
04-05-2023,09:49:00,18115.45,04-05-2023,64.5,18100,48.01,44.21,40.3,36.86,33.11,29.1,25.4,21.98,19.88,18.4,17.39,16.99,17.15,17.91,21.31,25.07,28.91,32.8,36.91,40.94,44.06,
04-05-2023,09:50:00,18115.3,04-05-2023,64.19999999999999,18100,48.52,44.3,40.72,36.65,32.96,28.98,25.47,22.04,19.95,18.36,17.32,17,17.19,17.9,21.48,25.08,28.92,33.14,36.94,40.59,44.54,
04-05-2023,09:51:00,18116.1,04-05-2023,64,18100,48.28,44.47,40.89,36.82,33.36,29.33,25.63,22.01,19.91,18.31,17.25,16.84,17.07,17.68,21.22,25,28.85,32.77,36.52,40.54,44.51,
04-05-2023,09:52:00,18111.65,04-05-2023,63.599999999999994,18100,48.63,44.77,41.13,36.73,33.02,29.03,25.36,21.76,19.84,18.36,17.22,16.88,17.11,17.77,21.58,25.19,29.04,33.27,37.08,40.33,44.27,
04-05-2023,09:53:00,18110.55,04-05-2023,63.85,18100,49.08,45.17,41.16,37.04,33.04,29.04,25.36,21.86,19.94,18.37,17.33,16.89,17.26,17.95,21.65,25.26,29.12,33.04,37.16,40.83,44.36,
04-05-2023,09:54:00,18110.7,04-05-2023,64.05,18100,49.12,45.2,41.49,37.06,33.05,29.24,25.36,21.95,20.04,18.47,17.42,16.98,17.03,18.02,21.55,25.33,29.2,33.12,37.25,40.51,44.46,
04-05-2023,09:55:00,18110.45,04-05-2023,63.8,18100,49.09,45.17,41.45,37,33.22,29.16,25.42,21.94,19.91,18.43,17.41,17.01,17.12,18.06,21.7,25.48,29.35,33.28,37.41,41.09,45.07,
04-05-2023,09:56:00,18113.3,04-05-2023,63.65,18100,49.29,45.7,41.63,37.46,33.17,29.15,25.46,21.83,19.95,18.43,17.35,16.99,17.13,17.94,21.59,25.61,29.27,33.2,36.99,41.03,45.02,
04-05-2023,09:57:00,18115.85,04-05-2023,62.85,18100,49.39,45.46,41.73,37.55,33.49,29.23,25.39,22.01,20.03,18.24,17.15,16.69,16.95,17.92,21.59,25.61,29.27,33.22,37.37,40.65,44.61,
04-05-2023,09:58:00,18115.2,04-05-2023,63.15,18100,49.49,45.19,41.51,37.63,33.57,29.5,25.46,21.97,19.93,18.37,17.25,16.8,17.07,17.92,21.59,25.63,29.29,33.56,37.04,41.1,45.1,
04-05-2023,09:59:00,18119,04-05-2023,63.55,18100,49.41,45.51,41.83,37.68,33.89,29.63,25.79,22.23,20.04,18.4,17.27,16.82,17,17.86,21.34,25.39,29.07,33.04,36.84,40.91,44.92,
04-05-2023,10:00:00,18116.85,04-05-2023,63.05,18100,49.96,45.65,42.28,37.81,34.01,29.75,25.91,22.45,20.05,18.2,17.13,16.73,16.89,17.8,21.46,25.13,29.32,33.33,36.83,40.91,44.92,
04-05-2023,10:01:00,18129.3,04-05-2023,63.150000000000006,18150,46.46,42.78,38.64,34.37,30.62,26.5,22.87,20.25,18.36,16.98,16.46,16.48,17.3,20.79,24.58,28.31,32.31,36.5,39.83,43.83,47.78,
04-05-2023,10:02:00,18128,04-05-2023,62.95,18150,46.89,42.51,38.39,34.67,30.45,26.53,22.9,20.2,18.17,16.98,16.42,16.61,17.13,20.34,24.41,28.36,32.68,36.57,39.9,43.44,47.36,
04-05-2023,10:03:00,18133.9,04-05-2023,61.5,18150,47.34,43.61,39.14,35.12,31.32,27.48,23.52,20.48,18.36,17.01,16.35,16.37,16.97,19.94,24.04,28.01,32.03,35.89,39.59,43.61,47.57,
04-05-2023,10:04:00,18131,04-05-2023,61.2,18150,47.34,43.29,39.41,35.58,31.68,27.6,23.58,20.41,18.37,16.93,16.23,16.25,16.79,20.22,23.93,27.85,32.15,36.01,39.72,43.74,47.21,
04-05-2023,10:05:00,18129.2,04-05-2023,60.25,18150,47.03,43.66,39.46,35.63,31.72,27.47,23.37,20.35,17.81,16.55,15.97,15.86,16.52,19.93,23.75,27.91,31.89,36.08,39.79,43.35,47.29,
04-05-2023,10:06:00,18125.5,04-05-2023,60.95,18150,47.32,43.24,39.35,35.51,31.39,27.48,23.44,20.45,18.05,16.73,16.05,16.11,16.75,19.96,24.19,28.12,32.43,35.92,40.01,44.04,47.52,
04-05-2023,10:07:00,18128.45,04-05-2023,60.45,18150,47.25,43.88,39.66,35.82,31.71,27.65,23.66,20.75,18.29,16.9,16.14,16.15,16.79,20.07,23.97,27.91,32.23,36.11,39.84,43.88,47.87,
04-05-2023,10:08:00,18128.4,04-05-2023,61,18150,47.29,43.91,39.96,35.83,31.71,27.65,23.65,20.72,18.36,17.01,16.29,16.33,16.65,19.98,24.05,28,32.32,36.21,40.35,43.98,47.48,
04-05-2023,10:09:00,18130.75,04-05-2023,59.55,18150,47.19,43.88,39.98,36.13,31.82,27.95,23.85,20.78,18.34,16.86,16.07,16.03,16.39,19.57,23.61,27.8,32.14,35.66,40.19,43.83,47.33,
04-05-2023,10:10:00,18131,04-05-2023,59.900000000000006,18150,47.17,43.86,39.66,35.85,31.56,27.57,23.65,20.61,18.21,16.72,16.13,16.17,16.53,19.88,23.97,27.94,31.96,35.81,39.49,43.52,46.96,
04-05-2023,10:11:00,18130.85,04-05-2023,59.949999999999996,18150,47.66,43.94,39.74,35.92,31.83,27.63,23.83,20.81,18.28,16.9,16.18,16.1,16.54,19.9,23.77,27.97,32,35.85,39.98,43.08,47.02,
04-05-2023,10:12:00,18126.95,04-05-2023,60.550000000000004,18150,47.8,43.35,39.47,35.39,31.53,27.31,23.35,20.47,18.09,16.78,16.12,16.16,16.75,20.11,24.38,28.35,32.02,35.82,39.92,43.95,47.93,
04-05-2023,10:13:00,18127.9,04-05-2023,60.45,18150,47.98,43.87,39.65,35.57,31.7,27.64,23.4,20.73,18.27,16.87,16.21,16.23,16.64,20.02,24.06,27.98,31.96,36.17,40.31,43.91,47.36,
04-05-2023,10:14:00,18127.1,04-05-2023,59.95,18150,48.13,44.01,39.78,35.95,31.83,27.92,23.65,20.79,18.26,16.86,16.15,16.18,16.69,19.97,24.03,28.25,31.94,35.76,39.87,43.92,47.91,
04-05-2023,10:15:00,18127.15,04-05-2023,60.2,18150,48.04,43.92,39.97,35.83,31.5,27.62,23.49,20.52,18.15,16.77,16.11,16.12,16.8,20.18,24.24,28.17,32.5,36.37,40.08,44.14,47.6,
04-05-2023,10:16:00,18125.45,04-05-2023,60.050000000000004,18150,47.85,44.1,39.86,36,31.67,27.79,23.54,20.71,18.25,16.86,16.19,16.32,16.69,20.09,23.91,28.1,32.1,36.33,40.04,44.58,47.57,
04-05-2023,10:17:00,18124.9,04-05-2023,62.8,18100,52.29,47.87,44.44,39.86,36,31.66,27.61,23.63,20.51,18.09,16.77,16.09,16.14,16.9,20.19,24.26,28.2,32.21,36.03,40.6,44.71,
04-05-2023,10:18:00,18124.25,04-05-2023,62.650000000000006,18100,52.26,47.84,43.73,40.1,35.94,31.59,27.69,23.41,20.39,18.18,16.86,16.17,16.25,16.95,20.34,24.41,28.36,32.37,36.2,40.33,44.41,
04-05-2023,10:19:00,18124.55,04-05-2023,62.349999999999994,18100,52.82,48.36,44.2,40.51,36.31,31.91,27.96,23.52,20.51,18.2,16.74,16.04,16.03,16.91,20.31,24.39,28.34,32.36,36.2,40.34,44.42,
04-05-2023,10:20:00,18124.6,04-05-2023,62.15,18100,52.84,48.37,44.2,40.22,36.05,32.09,27.93,23.6,20.45,18.22,16.77,16.04,16.07,16.79,20.42,24.5,28.46,32.83,36.32,40.47,45.04,
04-05-2023,10:21:00,18126.15,04-05-2023,59,18150,48.28,44.83,40.52,36.59,32.18,28.07,23.91,20.64,18.1,16.77,16.04,16.06,16.77,20.2,24.05,28.28,32.31,36.57,40.32,44.42,47.91,
04-05-2023,10:22:00,18125.25,04-05-2023,59.25,18150,48.66,44.49,40.79,36.56,32.35,28.18,23.85,20.63,18.21,16.78,16.07,16.21,16.9,20.51,24.18,28.1,32.45,36.31,40.47,44.06,47.48,
04-05-2023,10:23:00,18125.45,04-05-2023,58.8,18150,48.82,44.64,40.64,36.46,32.48,28.15,23.98,20.61,18.16,16.84,16.03,16.25,16.83,20.46,24.14,28.06,32.42,36.29,39.99,44.57,47.49,
04-05-2023,10:24:00,18126.2,04-05-2023,58.7,18150,48.5,44.36,40.41,36.51,32.52,28.35,23.88,20.63,18.18,16.75,16.02,16.12,16.76,20.5,24.44,28.12,32.49,36.36,40.54,44.14,48.16,
04-05-2023,10:25:00,18133.45,04-05-2023,56.4,18150,48.75,45.02,41.07,36.93,33.02,28.57,24.37,21.14,18.19,16.61,15.78,15.69,16.38,19.88,23.86,27.88,32.3,36.25,40.48,44.17,48.24,
04-05-2023,10:26:00,18133.8,04-05-2023,55.65,18150,49.35,45.2,40.94,37.11,32.76,28.57,24.55,21.16,18.23,16.62,15.65,15.6,16.16,19.61,23.53,27.81,31.9,35.8,40,43.63,47.67,
04-05-2023,10:27:00,18130.55,04-05-2023,56.099999999999994,18150,49.18,45.02,40.75,36.9,32.54,28.5,24.28,20.85,18,16.52,15.65,15.9,16.62,19.92,24.09,28.12,32.2,36.11,40.75,44.45,47.99,
04-05-2023,10:28:00,18131.75,04-05-2023,56.7,18150,49.29,45.12,40.85,36.99,32.62,28.58,24.36,20.92,18.15,16.64,15.88,15.9,16.5,19.93,23.85,28.14,32.58,36.55,40.79,44.5,48.04,
04-05-2023,10:29:00,18132.3,04-05-2023,56.2,18150,49.4,45.23,40.95,37.09,32.72,28.67,24.44,20.92,18.29,16.67,15.78,15.8,16.7,19.92,24.1,28.15,32.6,36.57,40.83,44.03,48.09,
04-05-2023,10:30:00,18133.9,04-05-2023,55.95,18150,49.24,45.47,41.19,37.33,32.95,28.73,24.54,21.18,18.43,16.78,15.83,15.72,16.62,19.77,23.97,28.03,32.14,36.47,40.29,44.46,48.02,
04-05-2023,10:31:00,18132.3,04-05-2023,55.8,18150,49.25,45.48,41.19,37.32,32.71,28.87,24.37,21.04,18.1,16.56,15.77,15.89,16.84,20.06,24.08,28.14,32.26,36.6,40.42,44.08,48.16,
04-05-2023,10:32:00,18135.2,04-05-2023,55.6,18150,49.86,46.03,41.69,37.5,33.11,28.88,24.41,20.87,18.21,16.64,15.81,15.89,16.82,19.78,23.99,28.07,32.19,36.55,40.82,44.56,48.68,
04-05-2023,10:33:00,18131.9,04-05-2023,55.75,18150,49.34,45.19,41.25,37.36,32.96,28.53,24.08,20.65,17.98,16.54,15.76,16.01,16.89,20.21,23.73,28,32.07,36.8,40.63,44.82,48.94,
04-05-2023,10:34:00,18132.2,04-05-2023,55.55,18150,49.84,45.64,41.32,37.16,33.24,28.76,24.26,20.86,18.06,16.57,15.73,15.99,16.81,19.87,24.03,28.05,32.12,36.86,40.7,44.89,48.47,
04-05-2023,10:35:00,18135.9,04-05-2023,55.2,18150,49.71,45.92,41.6,37.7,33.29,29.03,24.55,20.89,18.13,16.58,15.77,15.98,16.69,20.05,23.6,27.89,31.98,36.72,40.1,44.78,48.37,
04-05-2023,10:36:00,18134.45,04-05-2023,55.4,18150,49.68,45.88,41.55,37.64,33.22,28.95,24.45,20.87,18.08,16.57,15.79,15.96,16.65,20.03,24.02,28.06,32.15,36.49,40.76,44.45,47.96,
04-05-2023,10:37:00,18135.7,04-05-2023,54.8,18150,50.32,46.1,41.77,37.86,33.43,28.98,24.52,21.09,18.21,16.6,15.72,15.74,16.6,19.91,23.65,28.27,32.06,36.41,40.21,44.39,47.91,
04-05-2023,10:38:00,18136.25,04-05-2023,54.1,18150,50.47,46.24,42.22,37.99,33.56,29.29,24.78,21.03,17.98,16.43,15.57,15.79,16.55,20.05,23.62,27.94,32.05,36.41,40.22,43.85,47.94,
04-05-2023,10:39:00,18136.3,04-05-2023,53.9,18150,50.55,45.94,41.64,38.05,33.61,29.33,24.67,21.05,18.06,16.41,15.53,15.7,16.59,20.09,23.68,28.31,32.12,36.04,40.3,44.49,48.62,
04-05-2023,10:40:00,18136.25,04-05-2023,53.5,18150,50.33,46.14,42.16,38.24,33.79,29.33,24.85,21.15,18.02,16.43,15.5,15.45,16.47,19.81,23.59,28.24,32.06,35.99,40.25,43.9,48,
04-05-2023,10:41:00,18137.45,04-05-2023,53.099999999999994,18150,50.83,46.21,42.22,38.02,33.61,29.18,24.58,20.88,17.92,16.38,15.4,15.51,16.4,20.04,23.9,27.98,32.49,36.5,40.33,44.54,48.09,
04-05-2023,10:42:00,18141,04-05-2023,52.4,18150,51.2,46.95,42.58,38.1,34.21,29.54,24.96,21.38,17.91,16.38,15.34,15.2,16.17,19.75,23.39,27.75,31.9,36.29,40.13,44.35,47.91,
04-05-2023,10:43:00,18141.95,04-05-2023,52.45,18150,50.82,46.61,42.28,38.41,33.99,29.55,24.95,21.36,17.94,16.38,15.37,15.5,16.26,19.66,23.47,27.84,31.99,36.39,40.72,44.98,48.04,
04-05-2023,10:44:00,18144.85,04-05-2023,52.3,18150,51.06,46.84,42.84,38.63,34.21,29.77,25.17,21.49,17.96,16.41,15.4,15.39,16.09,19.52,23.35,27.73,31.9,36.31,40.17,44.4,47.98,
04-05-2023,10:45:00,18141.85,04-05-2023,52.45,18150,51.05,47.2,42.48,38.31,34.39,29.7,25.25,21.4,18.02,16.43,15.44,15.41,16.04,19.67,23.5,27.89,32.06,36.48,40.34,45.1,48.16,
04-05-2023,10:46:00,18141.5,04-05-2023,52.650000000000006,18150,51.09,46.86,42.51,38.61,34.17,29.9,25.39,21.58,18.07,16.48,15.51,15.54,16.02,19.94,23.59,27.98,32.16,36.59,40.45,44.7,48.29,
04-05-2023,10:47:00,18138,04-05-2023,52.95,18150,51.43,47.14,42.39,38.49,34.03,29.74,25.22,21.27,18.09,16.53,15.55,15.67,16.28,20,23.83,28.22,32.4,36.83,41.19,44.95,49.15,
